ISBN,publisher_name,title,author,genre,  num_pages,price,cost,num_in_stock,percentage_to_publishers
9780689840920      ,Atheneum Books for Young Readers: Richard Jackson Books,Hatchet (Brian's Saga  #1),Gary Paulsen,Graphic Novel,1054,66.23,1.3,198,24.84
9781557344496      ,Teacher Created Resources,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,Graphic Novel,600,70.57,4.24,194,12.6
9780385326506      ,Delacorte Press,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,Fiction,1487,52.95,2.12,99,19.74
9781575606248      ,Cherry Lane Music Company,Molly Hatchet - 5 of the Best,Molly Hatchet,Adventure,207,17.26,4,135,18.94
9781595580276      ,The New Press,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,Crime,348,89.55,3.59,224,25.19
9781595962805      ,Changeling Press,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,Fiction,360,40.88,3.13,154,25.89
9780670059676      ,Viking Juvenile,Changeling (Changeling  #1),Delia Sherman,Paranormal Romance,871,91.92,2.57,185,44.07
9780141312620      ,Firebird,The Changeling Sea,Patricia A. McKillip,Children,802,22.07,2.02,82,36.3
9780595321803      ,iUniverse,The Changeling,Zilpha Keatley Snyder,Drama,1299,46.39,4.16,173,31.8
9781590301944      ,Shambhala,The Changeling,Kate Horsley,Crime,129,34.02,1.19,266,27.36
9780449146972      ,Ivy Books,The Changeling (Daughters of England  #15),Philippa Carr,Satire,1033,83.54,1.27,133,24.12
9780061159176      ,Amistad,The Known World,Edward P. Jones,Fiction,597,33.96,3.14,210,13.49
9780060762735      ,HarperAudio,The Known World,Edward P. Jones/Kevin R. Free,Non-Fiction,543,17.02,1.51,73,40.33
9780060749910      ,Harper,The Known World,Edward P. Jones,Short-Story,1468,16.4,2.48,149,38.75
9780273704744      ,FT Press,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,Science Fiction,813,91.94,2.08,283,47.24
9781932386103      ,Archaia,Artesia: Adventures in the Known World,Mark Smylie,Thriller,993,17.6,3.14,207,32.15
9780374517199      ,Farrar  Straus and Giroux,The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,Romance,965,35.96,3.15,156,30.1
9780374280390      ,Farrar Straus Giroux,Uncommon Carriers,John McPhee,Suspense,1299,10.38,4.06,209,20.32
9780374519742      ,Farrar  Straus and Giroux,Heirs of General Practice,John McPhee,Short-Story,782,54.63,4.18,251,17.54
9780374522599      ,Farrar  Straus and Giroux,The Control of Nature,John McPhee,Non-Fiction,1450,90.16,4.69,222,47.96
9780374518738      ,Farrar  Straus and Giroux,Annals of the Former World,John McPhee,Anthology,160,18.51,3.97,203,22.34
9780374522872      ,Farrar  Straus and Giroux,Coming Into the Country,John McPhee,Paranormal Romance,1147,73.34,2.06,263,13.38
9780374519322      ,Farrar  Straus and Giroux,La Place de la Concorde Suisse,John McPhee,Historical Fiction,1302,38.34,2.62,174,24.42
9780374516000      ,Farrar  Straus and Giroux,Giving Good Weight,John McPhee,Drama,577,41.72,3.42,209,38.82
9780374520656      ,Farrar  Straus and Giroux,Rising from the Plains,John McPhee,Anthology,1237,95.2,4.77,188,11.32
9780822205104      ,Dramatists Play Service,The Heidi Chronicles,Wendy Wasserstein,Crime,520,95.35,3.99,177,16.63
9780679734994      ,Vintage,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,Action,207,74.9,4.76,100,31.79
9781596670235      ,Routledge,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,Science Fiction,515,71.5,2.97,120,38.8
9781581807745      ,North Light Books,Simply Beautiful Beaded Jewelry,Heidi Boyd,Crime,1230,98.23,3.81,151,41.58
9780800793616      ,Chosen Books,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,Thriller,900,15.9,4.58,23,16.42
9780871202864      ,Association for Supervision & Curriculum Development,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,Fantasy,1485,38.41,3.24,41,45.64
9780753454947      ,Kingfisher,Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,Paranormal Romance,724,23.79,2.84,159,21.92
9780871209993      ,ASCD,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,Anthology,1292,52.68,2.29,228,16.08
9781852402877      ,Sovereign World,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,Crime,403,11.37,1.91,22,49.27
9780761129585      ,Workman Publishing Company,What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,Science Fiction,1423,93.28,3.55,91,10.57
9780972016414      ,One Hour Entertainment,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,Adventure,456,99.29,1.79,226,22.98
9781581805635      ,North Light Books,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,Thriller,136,26.73,3.83,73,45.9
9780441294671      ,Ace Books,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,Romance,982,57.37,1.18,158,37.63
9780441102679      ,Ace Books,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,Paranormal Romance,480,44.61,1.14,99,33.37
9780441172696      ,Ace Books,Dune Messiah (Dune Chronicles #2),Frank Herbert,Children,467,56.74,2.92,143,16.16
9780765306470      ,Tor Books,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,Adventure,258,50.23,1.08,21,17.51
9780399128981      ,Putnam,Heretics of Dune (Dune Chronicles  #5),Frank Herbert,Satire,1125,85.28,2.37,297,12.31
9780765353702      ,Tor Science Fiction,The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,Non-Fiction,460,29.52,4.61,140,33.85
9780441328000      ,Ace Books,Heretics of Dune (Dune Chronicles #5),Frank Herbert,Mystery,559,22.36,4.8,84,35.73
9780618212903      ,Houghton Mifflin Harcourt,The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,Mystery,332,83.24,3,29,44.31
9780345410054      ,Ballantine Books,The Power of One (The Power of One  #1),Bryce Courtenay,Paranormal Romance,1001,60.57,2.78,40,42.46
9780385732543      ,Delacorte Books for Young Readers,The Power of One (The Power of One  #1),Bryce Courtenay,Fiction,973,89.61,2.5,239,46.86
9780785260059      ,Thomas Nelson,The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,Action,801,45.42,2.72,134,47.18
9780471780939      ,Wiley,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,Graphic Novel,985,55.14,2.3,251,39.47
9780325001531      ,Heinemann Drama,The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,Drama,1183,93.72,4.53,183,11.41
9780060762872      ,William Morrow Paperbacks,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,Satire,942,81.06,1.64,199,18.54
9780470045299      ,Wiley,eBay for Dummies,Marsha Collier,Anthology,828,40.58,1.77,177,22.75
9780072262780      ,McGraw-Hill,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,Suspense,1298,20.14,2.47,145,18.44
9780764569241      ,Wiley,Starting an eBay Business for Dummies,Marsha Collier,Drama,127,66.67,4.39,271,25.93
9780471933823      ,Wiley,eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,Suspense,759,77.36,3.61,131,41.07
9780764559914      ,Wiley,ebay Timesaving Techniques for Dummies,Marsha Collier,Horror,1392,92.58,2.18,59,40.52
9780764584381      ,Wiley,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,Fantasy,1019,98.21,1.94,49,47.48
9780596523695      ,O'Reilly Media,Ruby Cookbook,Lucas Carlson/Leonard Richardson,Non-Fiction,807,25.31,4.92,164,13.17
9780806523491      ,Citadel,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,Romance,1032,74.91,1.44,124,31.73
9780806525365      ,Citadel,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,Satire,1138,10.22,2.26,239,40.07
9780596527310      ,O'Reilly Media,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,Historical Fiction,222,34.81,3.15,153,32.53
9780143035008      ,Penguin Classics,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,Suspense,1388,45.89,3.49,60,16.94
9780451528612      ,Signet,Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,Short-Story,1363,32.04,2.37,300,12.8
9780140449174      ,Penguin Books,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,Paranormal Romance,1159,64.01,1.35,267,24.58
9780822001836      ,Cliffs Notes,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,Adventure,813,79.01,2.39,207,45.74
9781593080273      ,Barnes & Noble Classics,Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,Historical Fiction,1180,12.19,3.69,122,28
9780486437965      ,Dover Publications,Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,Non-Fiction,1471,46.05,3.78,147,34.06
9781593081775      ,Barnes & Noble,Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,Anthology,1379,37.96,2.2,90,21.52
9780778322276      ,Mira Books,Dinner with Anna Karenina,Gloria Goldreich,Historical Fiction,1397,28.07,2.26,217,43.48
9780521313254      ,Cambridge University Press,Tolstoy: Anna Karenina,Anthony Thorlby,Adventure,111,17.41,2.66,128,34.56
9780140183955      ,Penguin Books,Untouchable,Mulk Raj Anand/E.M. Forster,Horror,1110,99.51,1.5,232,31.57
9780679767473      ,Vintage,The Untouchable,John Banville,Thriller,279,69.09,1.75,225,37.71
9781568491981      ,Buccaneer Books,The Untouchables,Eliot Ness/Oscar Fraley,Crime,503,51.45,1.42,295,28.92
9780743270793      ,Scribner,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,Satire,484,11.59,3.38,227,15.72
9780932863058      ,Clarity Press,Dalit: The Black Untaouchables of India,V.T. Rajshekar/Y.N. Kly,Graphic Novel,681,93.43,4.97,22,18.93
9780742508804      ,Rowman & Littlefield Publishers,Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon/Gail Omvedt/Eleanor Zelliot,Graphic Novel,1305,31.57,4.45,191,11.12
9780205358625      ,Pearson,The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,Fiction,600,67.18,3.88,233,42.19
9781557344038      ,Teacher Created Resources,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello/Patty Carratello/Theresa Wright,Non-Fiction,143,25.5,1.66,63,42.76
9780380720446      ,Harper Perennial,Wrinkles in Time,George Smoot/Keay Davidson,Non-Fiction,291,91.46,1.69,136,27.67
9780821925324      ,EMC/Paradigm Publishing,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,Thriller,615,72.44,4.38,291,41.44
9780439271691      ,Teaching Resources,Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,Suspense,1194,50.57,3.48,95,35.01
9780606105262      ,Turtleback Books,Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,Drama,691,86.66,1.56,243,18.99
9780751506433      ,Little  Brown Book Group,The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,Non-Fiction,851,23.71,4.39,147,17.12
9780060786717      ,William Morrow,A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,Fiction,1413,84.43,1.18,164,24.01
9780743499347      ,Atria Books,Long Way Round: Chasing Shadows Across the World,Ewan McGregor/Charley Boorman/Robert Uhlig,Suspense,359,83.44,2.04,286,38.32
9780765313409      ,Tor Books,A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,Satire,370,60.99,1.09,275,46.14
9781400032495      ,Vintage Crime/Black Lizard,New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke,Suspense,752,36.16,1.03,163,35.56
9781400032488      ,Vintage Crime/Black Lizard,Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block,Science Fiction,149,95.85,3.46,72,37.6
9781400032464      ,Vintage Crime/Black Lizard,Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard,Chick lit,842,34.7,2.64,256,11.13
9780679732525      ,Vintage,The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,Children,1496,35.76,1.83,121,36.07
9780312424442      ,Picador USA,I am Charlotte Simmons,Tom Wolfe,Action,779,91.93,1.61,182,34.8
9780806930770      ,Sterling,Poetry for Young People: Edward Lear,Edward Lear/Laura Huliska-Beith/Edward Mendelson,Adventure,665,36.81,1.16,163,13.42
9780140366600      ,Puffin,The Puffin Book of Nonsense Verse,Quentin Blake,Adventure,1475,13.28,1.97,22,19.5
9780811201124      ,New Directions Publishing,Henry Miller on Writing,Henry Miller/Thomas H. Moore,Mystery,1270,38.51,3.32,82,20.7
9780802130167      ,Grove Press,Quiet Days in Clichy,Henry Miller,Anthology,1424,61.48,2.5,209,32.19
9780802131782      ,Grove Press,Tropic of Cancer,Henry Miller/Jiří Níl,Paranormal Romance,993,44.06,4.3,19,39.91
9780802151827      ,Grove Press,Tropic of Capricorn,Henry Miller,Horror,1130,61.43,2.99,17,32.42
9780802151780      ,Grove Press,Nexus (The Rosy Crucifixion  #3),Henry Miller,Adventure,1294,26.5,4.72,56,33.37
9780802151803      ,Grove Press,Sexus (The Rosy Crucifixion  #1),Henry Miller,Thriller,997,49.21,1.15,276,42.34
9780811201063      ,New Directions,The Air-Conditioned Nightmare,Henry Miller,Thriller,324,16.16,3.78,110,41.22
9780141439631      ,Penguin Classics,The Portrait of a Lady,Henry James/Patricia Crick,Thriller,305,58.77,3.77,131,34.79
9781593080969      ,Barnes  Noble Classics,The Portrait of a Lady,Henry James/Gabriel Brownstein/Mary Cregan,Children,1298,70.75,3.02,235,36.94
9781571290533      ,Brookline Books,Writing,Marguerite Duras,Paranormal Romance,1232,85.64,2.31,217,10.3
9781565842212      ,The New Press,The War,Marguerite Duras/Barbara Bray,Horror,821,45.27,2.63,77,19.53
9780394743042      ,Pantheon,The Ravishing of Lol Stein,Marguerite Duras/Richard Seever,Paranormal Romance,357,63.63,3.2,114,27.97
9781851681822      ,One World (UK),Love Letters,Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari,Fiction,843,75.87,4.38,85,28.92
9781566562492      ,Interlink Publishing Group,Kahlil Gibran: His Life and World,Jean Gibran/جبران خليل جبران/Kahlil Gibran,Historical Fiction,477,35.95,1.16,90,22.73
9780140195538      ,Penguin Books,The Beloved: Reflections on the Path of the Heart,Kahlil Gibran/John Walbridge/Robin Waterfield,Anthology,118,16.7,2.47,300,16.45
9780394431246      ,Knopf,Jesus the Son of Man,Kahlil Gibran/جبران خليل جبران,Action,1316,22.46,1.64,164,38.62
9780806501901      ,Citadel,The Broken Wings,Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris,Action,258,26.09,3,53,13.02
9780679439202      ,Knopf,Sand and Foam,Kahlil Gibran/جبران خليل جبران,Suspense,871,80.84,3.16,178,38.25
9780753453803      ,Kingfisher,Treasure Island,Robert Louis Stevenson,Children,167,81.19,1.7,175,31.81
9781402714573      ,Sterling Children's Books,Treasure Island,Robert Louis Stevenson/Scott McKowen,Crime,517,41.04,3.28,82,37.51
9781416500292      ,Simon & Schuster,Treasure Island,Robert Louis Stevenson,Chick lit,164,37.1,1.1,271,48.66
9780689854682      ,Atheneum Books for Young Readers,Treasure Island,Robert Louis Stevenson/N.C. Wyeth/Timothy Meis,Fiction,925,62.25,2.02,132,33.3
9780517221143      ,Gramercy Books,Treasure Island,Robert Louis Stevenson/Milo Winter,Mystery,1255,55.22,2.72,29,43.01
9781577658054      ,Abdo Publishing Company,Treasure Island (Great Illustrated Classics),Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson,Paranormal Romance,470,93.12,2.09,247,31.08
9780933121188      ,Black Classic Press,100 Years of Lynchings,Ralph Ginzburg,Drama,646,88.72,1.86,119,34.24
9780785950103      ,French & European,Cien años de soledad,Gabriel García Márquez,Action,1280,86.43,2.04,295,10.9
9780394800844      ,Random House Books for Young Readers,On Beyond Zebra!,Dr. Seuss,Action,1126,99.48,4.69,172,39.96
9780821778258      ,Zebra,The Wedding Clause,Debbie Raleigh,Satire,859,57.6,2.71,145,38.21
9780060733032      ,Greenwillow Books,The Zebra Wall,Kevin Henkes,Adventure,1353,83.42,1.13,163,26.26
9788432216060      ,Booket,El perfume: Historia de un asesino,Patrick Süskind,Crime,1006,79.31,4.55,69,33.1
9780345413994      ,Del Rey,The Door Into Summer,Robert A. Heinlein,Adventure,1145,12.74,3.34,279,33.1
9780441788385      ,Ace,Stranger in a Strange Land,Robert A. Heinlein,Satire,427,50.05,2.77,198,38.92
9780441748600      ,Ace Books,To Sail Beyond the Sunset,Robert A. Heinlein,Suspense,270,72.43,3.48,20,14.05
9780345316509      ,Del Rey,Job: A Comedy of Justice,Robert A. Heinlein,Paranormal Romance,666,36.33,3.86,267,47.68
9780765314932      ,Tor Books,Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein,Thriller,1310,76.73,3.63,167,37.51
9780671742515      ,Pocket Books,The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,Mystery,1427,19.38,2.26,17,49.95
9780345455291      ,Del Rey,The Salmon of Doubt (Dirk Gently  #3),Douglas Adams,Crime,1049,40.9,3.41,287,49.32
9780345476517      ,Del Rey,Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,Science Fiction,1425,41.47,4.32,69,47.98
9780345368430      ,Ballantine Books,Douglas Adams's Starship Titanic,Terry Jones,Horror,410,84.44,2.81,158,11.96
9781417622856      ,Turtleback Books,Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams/Christopher Cerf,Romance,701,15.98,1.73,100,41.69
9780573650963      ,Samuel French  Inc.,The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus/Norton Juster,Graphic Novel,973,49.79,4.22,52,27.84
9780691122946      ,Princeton University Press,On Bullshit,Harry G. Frankfurt,Suspense,994,36.49,3.25,96,22.09
9780393329407      ,W. W. Norton & Company,Another Bullshit Night in Suck City,Nick Flynn,Drama,183,38.65,1.67,60,33.43
9780671867423      ,Simon & Schuster,Lincoln at Gettysburg: The Words That Remade America,Garry Wills,Horror,1465,18.75,4.44,276,37.77
9780395883976      ,HMH Books for Young Readers,The Gettysburg Address,Abraham Lincoln/Michael McCurdy,Chick lit,1134,53.11,4.54,44,49.57
9780684848150      ,Scribner,Underworld,Don DeLillo,Adventure,545,75.89,4.52,238,25.9
9780140156041      ,Penguin,Libra,Don DeLillo,Science Fiction,1465,87.32,2.53,244,10.91
9780140119480      ,Penguin Books,Americana,Don DeLillo,Children,1397,93.1,4.11,46,38.43
9780679722946      ,Vintage Contemporaries,Running Dog,Don DeLillo,Anthology,113,53.6,3.67,185,39.39
9780743244251      ,Scribner,Cosmopolis,Don DeLillo,Fiction,295,71.77,2.63,293,32.26
9780140179170      ,Penguin Books,Great Jones Street,Don DeLillo,Drama,1264,65.96,2.69,189,34.98
9780679722953      ,Vintage,The Names,Don DeLillo,Suspense,1082,52.03,4.06,42,46.2
9781594201202      ,Penguin Press,Against the Day,Thomas Pynchon,Crime,1383,12.4,3.18,282,23.24
9780060930219      ,Harper Perennial Modern Classics,V.,Thomas Pynchon,Science Fiction,805,84.33,2.71,232,25.48
9780060931674      ,Harper Perennial,The Crying of Lot 49,Thomas Pynchon,Satire,687,91.63,4.8,227,41.57
9780140283389      ,Penguin Books,Gravity's Rainbow,Thomas Pynchon,Romance,1213,85.18,4.17,48,43.98
9780312423209      ,Picador USA,Mason & Dixon,Thomas Pynchon/Christophe Claro/Brice Matthieussent,Non-Fiction,1205,79.05,1.63,23,11.51
9780141180632      ,Penguin Classics,Vineland,Thomas Pynchon,Chick lit,889,22.93,4.87,29,12.35
9780143039945      ,Penguin Books,Gravity's Rainbow,Thomas Pynchon,Paranormal Romance,1076,24.98,3.57,264,40.92
9780316724432      ,Back Bay Books,Slow Learner: Early Stories,Thomas Pynchon,Anthology,185,12.35,4.96,44,39.98
9780140189308      ,Penguin Classics,Been Down So Long It Looks Like Up To Me,Richard Fariña/Thomas Pynchon,Crime,1448,97.4,4.53,63,24.59
9781400043149      ,Knopf Publishing Group,The Year of Magical Thinking,Joan Didion,Drama,1153,45.64,4.34,182,10.74
9780374522216      ,Farrar Straus Giroux,The White Album,Joan Didion,Horror,306,78.76,3.17,136,27.68
9780679754862      ,Vintage International,A Book of Common Prayer,Joan Didion,Science Fiction,1324,15.36,1.24,244,11.15
9780679752868      ,Vintage,Where I Was From,Joan Didion,Fiction,1050,47.24,2.2,96,20.16
9780374521721      ,Farrar Straus Giroux,Slouching Towards Bethlehem,Joan Didion,Anthology,1413,82.08,1.54,295,14.21
9780679754855      ,Vintage International,Democracy,Joan Didion,Paranormal Romance,632,15.05,1.14,177,17.53
9780307264879      ,Everyman's Library,We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Joan Didion/John Leonard,Paranormal Romance,1037,66.03,2.27,166,30.76
9780374529949      ,Farrar  Straus and Giroux,Play It As It Lays,Joan Didion/David Thomson,Science Fiction,339,57.35,2.03,149,19.58
9780143039839      ,Penguin Classics,The New York Trilogy,Paul Auster/Art Spiegelman/Luc Sante,Crime,652,26.5,3.02,56,22.16
9780140097313      ,Penguin Books,City of Glass (The New York Trilogy  #1),Paul Auster,Thriller,955,55.12,3.35,158,35.7
9780140097351      ,Penguin Books,Ghosts (The New York Trilogy  #2),Paul Auster,Children,599,15.95,4.73,248,45.55
9780940650763      ,Sun and Moon Press,The Locked Room (The New York Trilogy  #3),Paul Auster,Satire,250,25.62,1.7,23,13.13
9780963188922      ,Sky Books (NY),Pyramids of Montauk: Explorations in Consciousness,Peter Moon/Preston B. Nichols/Nina Helms,Short-Story,516,87.46,2.69,100,27.95
9780312426231      ,Picador,The Brooklyn Follies,Paul Auster,Children,478,88.62,4.87,55,10.61
9780140115857      ,Penguin Books,Moon Palace,Paul Auster,Paranormal Romance,268,22.5,1.89,30,29.79
9780140154078      ,Penguin Books,The Music of Chance,Paul Auster,Adventure,306,53.43,1.13,183,15.69
9780805081459      ,Henry Holt & Company,Travels in the Scriptorium,Paul Auster,Science Fiction,1478,79.45,3.27,207,11.41
9780140178135      ,Penguin Books,Leviathan,Paul Auster,Chick lit,941,43.86,2.31,91,17.26
9780811214988      ,New Directions,The Red Notebook: True Stories,Paul Auster,Fantasy,792,49.26,3.65,273,22.89
9782742741465      ,Actes Sud,Timbuktu / Leviathan / Moon Palace,Paul Auster,Fiction,495,17.48,2.3,192,16.53
